ticketId,Date (Ticket Created),Date (Ticket Last Updated),Date (Ticket Solved),Type,Category,Sub Category,Ticket Group,Ticket Status,corpId,Ticket Requester Domain,Z Channel,# SLA tickets,# SLAs Achieved,# SLAs Breached (Total),% Achieved,% Breached
524746,7/1/18,7/8/18,7/1/18,Complaint,Corporate Benefit Related,Meal voucher not received - Routed to HR,L1 - Support,Closed,5254,accenture.com,App,1,0,1,0,1
524747,7/1/18,7/8/18,7/1/18,Query,App Related,Super card activation via App,L1 - Support,Closed,-,yahoo.com,App,1,0,1,0,1
524748,7/1/18,7/1/18,7/1/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,9457,zeta.in,App,1,0,1,0,1
524749,7/1/18,7/4/18,7/4/18,Complaint,Payment Related,Offline txn - Debited not credited to merchant,L1 - Support,Closed,9457,zeta.in,App,1,0,1,0,1
524750,7/1/18,7/11/18,7/11/18,Query,KYC Related,Self serve KYC,Escalation Desk,Closed,-,gmail.com,Email,1,0,2,0,1
524752,7/1/18,7/4/18,7/4/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,-,fujifilm.com,Email,1,0,1,0,1
524753,7/1/18,7/8/18,7/1/18,Complaint,Payment Related,Add funds via Debit/Net banking dispute,L2 - Escalations,Closed,-,gmail.com,App,1,1,1,0.5,0.5
524754,7/1/18,7/8/18,7/1/18,Query,Product Related,Reward card,L1 - Support,Closed,-,gmail.com,App,1,0,1,0,1
524755,7/1/18,7/13/18,7/6/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,9928,gmail.com,Email,1,1,6,0.142857142857143,0.857142857142857
524756,7/1/18,7/8/18,7/1/18,Complaint,Payment Related,Online txn - Declined,L1 - Support,Closed,2934,zeta.in,App,1,0,1,0,1
524757,7/1/18,7/5/18,7/2/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,7658,yahoo.in,Email,1,0,3,0,1
524759,7/1/18,7/8/18,7/1/18,Query,Account Related,How to update account details,L1 - Support,Closed,2934,gmail.com,Email,1,0,1,0,1
